"scientificName","decimalLatitude","decimalLongitude","genericName"
"Pteropus poliocephalus Temminck, 1825",-30.704059,152.718475,"Pteropus"
"Phascolarctos cinereus (Goldfuss, 1817)",-28.993147,153.436756,"Phascolarctos"
"Macropus rufogriseus (Desmarest, 1817)",-32.387608,150.888962,"Macropus"
"Petaurus australis Shaw & Nodder, 1791",-37.321598,149.72551,"Petaurus"
"Rattus rattus (Linnaeus, 1758)",-33.882305,150.952545,"Rattus"
"Petauroides volans (Kerr, 1792)",-35.60228,149.520145,"Petauroides"
"Wallabia bicolor (Desmarest, 1804)",-34.304277,150.926436,"Wallabia"
"Notamacropus Dawson & Flannery, 1985",-29.072261,153.033042,"Notamacropus"
"Phascolarctos cinereus (Goldfuss, 1817)",-32.701513,152.064448,"Phascolarctos"
"Rhinolophus megaphyllus megaphyllus",-33.693135,150.875247,"Rhinolophus"
"Antechinus flavipes (Waterhouse, 1838)",-29.074833,153.033864,"Antechinus"
"Vombatus ursinus (Shaw, 1800)",-36.581456,149.385342,"Vombatus"
"Macropus giganteus Shaw & Nodder, 1790",-36.599425,149.361953,"Macropus"
"Macropus giganteus Shaw & Nodder, 1790",-36.601536,149.363683,"Macropus"
"Vombatus ursinus (Shaw, 1800)",-33.416198,150.26037,"Vombatus"
"Vombatus ursinus (Shaw, 1800)",-36.582716,149.385459,"Vombatus"
"Sciurus niger Linnaeus, 1758",29.823714,-95.623457,"Sciurus"
"Pipistrellus pipistrellus (Schreber, 1774)",51.727347,5.583385,"Pipistrellus"
"Pipistrellus pipistrellus (Schreber, 1774)",51.727055,5.584994,"Pipistrellus"
"Castor fiber Linnaeus, 1758",56.491992,38.413096,"Castor"
"Cervus nippon Temminck, 1838",57.07086,-4.16976,"Cervus"
"Eptesicus serotinus (Schreber, 1774)",52.15233,1.40448,"Eptesicus"
"Sus scrofa Linnaeus, 1758",47.25157,4.7851,"Sus"
"Tamiasciurus hudsonicus (Erxleben, 1777)",44.655108,-63.764642,"Tamiasciurus"
"Tamiasciurus hudsonicus (Erxleben, 1777)",44.655266,-63.731808,"Tamiasciurus"
"Sciurus carolinensis Gmelin, 1788",35.767671,-78.696172,"Sciurus"
"Erinaceus europaeus Linnaeus, 1758",53.26157,-3.57559,"Erinaceus"
"Plecotus Geoffroy Saint-Hilaire, 1818",54.3813,-1.9303,"Plecotus"
"Vulpes vulpes (Linnaeus, 1758)",51.55745,-3.22748,"Vulpes"
"Sciurus carolinensis Gmelin, 1788",55.96191,-4.65286,"Sciurus"
"Sciurus carolinensis Gmelin, 1788",57.13895,-2.15943,"Sciurus"
"Talpa europaea Linnaeus, 1758",53.765,-1.4631,"Talpa"
"Lutra lutra (Linnaeus, 1758)",NA,NA,"Lutra"
"Mustela nivalis Linnaeus, 1766",53.7841,-0.6642,"Mustela"
"Sciurus vulgaris Linnaeus, 1758",56.4272,-2.8747,"Sciurus"
"Talpa europaea Linnaeus, 1758",54.36943,-3.32839,"Talpa"
"Apodemus sylvaticus (Linnaeus, 1758)",52.97782,-2.39983,"Apodemus"
"Sciurus carolinensis Gmelin, 1788",51.343393,0.476406,"Sciurus"
"Meles meles (Linnaeus, 1758)",52.68,-3.1,"Meles"
"Dama dama (Linnaeus, 1758)",52.01749,0.47153,"Dama"
"Vulpes vulpes (Linnaeus, 1758)",53.3726,-0.8456,"Vulpes"
"Procyon lotor (Linnaeus, 1758)",28.82711,-103.63003,"Procyon"
"Meles meles (Linnaeus, 1758)",49.68,6.19,"Meles"
"Capreolus capreolus (Linnaeus, 1758)",53.3,6.15,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",53.1,6.55,"Sciurus"
"Capreolus capreolus (Linnaeus, 1758)",53,6.85,"Capreolus"
"Lepus europaeus Pallas, 1778",52.6,4.9,"Lepus"
"Castor fiber Linnaeus, 1758",51.7,4.65,"Castor"
"Sciurus vulgaris Linnaeus, 1758",52.05,4.3,"Sciurus"
"Oryctolagus cuniculus (Linnaeus, 1758)",50.75,5.95,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",50.75,5.95,"Capreolus"
"Phoca vitulina Linnaeus, 1758",52.2,4.4,"Phoca"
"Capreolus capreolus (Linnaeus, 1758)",51.25,3.8,"Capreolus"
"Phocoena phocoena (Linnaeus, 1758)",51.4,3.55,"Phocoena"
"Capreolus capreolus (Linnaeus, 1758)",53.1,6.2,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",51.85,5.2,"Capreolus"
"Sciurus vulgaris Linnaeus, 1758",53.15,6.55,"Sciurus"
"Halichoerus grypus (Fabricius, 1791)",52.45,4.5,"Halichoerus"
"Sciurus vulgaris Linnaeus, 1758",53.2,6.5,"Sciurus"
"Felis catus Linnaeus, 1758",52.95,4.7,"Felis"
"Phoca vitulina Linnaeus, 1758",52.45,4.55,"Phoca"
"Castor fiber Linnaeus, 1758",51.8,4.5,"Castor"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.95,5.95,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",53.05,7.15,"Capreolus"
"Bos taurus Linnaeus, 1758",52.4,5.25,"Bos"
"Vulpes vulpes (Linnaeus, 1758)",52.4,5.4,"Vulpes"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.55,4.55,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",53,6.75,"Capreolus"
"Felis catus Linnaeus, 1758",53,4.75,"Felis"
"Lepus europaeus Pallas, 1778",52,4.45,"Lepus"
"Meles meles (Linnaeus, 1758)",51.75,5.75,"Meles"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.85,4.25,"Oryctolagus"
"Capreolus capreolus (Linnaeus, 1758)",53.2,6.65,"Capreolus"
"Capreolus capreolus (Linnaeus, 1758)",52.35,5.3,"Capreolus"
"Mustela putorius Linnaeus, 1758",51.8,5.9,"Mustela"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.85,4.2,"Oryctolagus"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.9,4,"Oryctolagus"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.9,4.15,"Oryctolagus"
"Oryctolagus cuniculus (Linnaeus, 1758)",51.9,4.1,"Oryctolagus"
