"scientificName","decimalLatitude","decimalLongitude","genericName"
"Trachypithecus pileatus (Blyth, 1843)",24.259821,92.246253,"Trachypithecus"
"Sus scrofa Linnaeus, 1758",26.770973,90.994458,"Sus"
"Bubalus arnee (Kerr, 1792)",26.693755,90.972478,"Bubalus"
"Callosciurus erythraeus (Pallas, 1779)",24.352808,92.344603,"Callosciurus"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",20.367695,79.300035,"Semnopithecus"
"Funambulus pennantii Wroughton, 1905",23.035589,72.55468,"Funambulus"
"Callosciurus pygerythrus (I.Geoffroy Saint-Hilaire, 1833)",23.681126,92.460871,"Callosciurus"
"Funambulus pennantii Wroughton, 1905",23.035589,72.55468,"Funambulus"
"Ratufa bicolor (Sparrman, 1778)",27.474285,96.364755,"Ratufa"
"Felis catus Linnaeus, 1758",13.086382,80.218018,"Felis"
"Nycticebus bengalensis (Lacepède, 1800)",23.770694,92.444774,"Nycticebus"
"Melursus ursinus (Shaw, 1791)",26.128455,76.429984,"Melursus"
"Panthera tigris (Linnaeus, 1758)",26.199096,76.56507,"Panthera"
"Ratufa indica (Erxleben, 1777)",13.236317,75.054635,"Ratufa"
"Felis catus Linnaeus, 1758",21.240375,81.623122,"Felis"
"Canis familiaris Linnaeus, 1758",23.035448,72.552635,"Canis"
"Funambulus palmarum (Linnaeus, 1766)",15.671609,73.732754,"Funambulus"
"Funambulus pennantii Wroughton, 1905",23.036963,72.552668,"Funambulus"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",12.276818,76.613615,"Macaca"
"Callosciurus erythraeus (Pallas, 1779)",25.244806,91.661619,"Callosciurus"
"Canis familiaris Linnaeus, 1758",21.346104,81.688584,"Canis"
"Macaca mulatta (Zimmermann, 1780)",24.481497,92.293226,"Macaca"
"Paradoxurus hermaphroditus (Pallas, 1777)",23.693653,92.451435,"Paradoxurus"
"Semnopithecus priam Blyth, 1844",11.792664,77.008795,"Semnopithecus"
"Macaca mulatta (Zimmermann, 1780)",24.475564,92.30431,"Macaca"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",10.132889,76.689485,"Macaca"
"Loris lydekkerianus malabaricus Wroughton, 1917",13.343934,75.026214,"Loris"
"Ratufa bicolor (Sparrman, 1778)",27.453784,96.354289,"Ratufa"
"Antilope cervicapra (Linnaeus, 1758)",11.586755,77.007299,"Antilope"
"Canis aureus Linnaeus, 1758",27.508968,96.385522,"Canis"
"Funambulus pennantii Wroughton, 1905",18.926185,72.832065,"Funambulus"
"Elephas maximus Linnaeus, 1758",26.82854,88.335894,"Elephas"
"Felis catus Linnaeus, 1758",17.911789,73.674026,"Felis"
"Funambulus pennantii Wroughton, 1905",23.039072,72.555848,"Funambulus"
"Callosciurus erythraeus (Pallas, 1779)",23.681126,92.460871,"Callosciurus"
"Semnopithecus priam Blyth, 1844",11.401046,76.923295,"Semnopithecus"
"Macaca mulatta (Zimmermann, 1780)",28.544281,77.126424,"Macaca"
"Funambulus pennantii Wroughton, 1905",23.03574,72.552368,"Funambulus"
"Macaca assamensis (McClelland, 1840)",27.243092,96.603173,"Macaca"
"Funambulus pennantii Wroughton, 1905",23.036957,72.552666,"Funambulus"
"Semnopithecus dussumieri I.Geoffroy Saint-Hilaire, 1843",23.037365,72.552119,"Semnopithecus"
"Canis familiaris Linnaeus, 1758",23.039229,72.555904,"Canis"
"Funambulus pennantii Wroughton, 1905",23.035476,72.551207,"Funambulus"
"Funambulus pennantii Wroughton, 1905",23.035589,72.55468,"Funambulus"
"Funambulus pennantii Wroughton, 1905",23.036789,72.550323,"Funambulus"
"Rousettus leschenaultii (Desmarest, 1820)",23.682862,92.438827,"Rousettus"
"Axis axis (Erxleben, 1777)",11.574922,76.976761,"Axis"
"Funambulus pennantii Wroughton, 1905",23.037202,72.552359,"Funambulus"
"Megaderma lyra E.Geoffroy, 1810",13.262974,75.087947,"Megaderma"
"Panthera tigris (Linnaeus, 1758)",26.077514,76.40668,"Panthera"
"Rusa unicolor (Kerr, 1792)",26.100055,76.497986,"Rusa"
"Ratufa bicolor (Sparrman, 1778)",27.409362,96.27133,"Ratufa"
"Canis familiaris Linnaeus, 1758",23.036957,72.552086,"Canis"
"Bos taurus Linnaeus, 1758",18.96487,72.82111,"Bos"
"Bos gaurus C.H.Smith, 1827",20.573034,79.266729,"Bos"
"Lepus nigricollis F.Cuvier, 1823",18.701228,73.388553,"Lepus"
"Panthera tigris tigris",20.5331,79.322178,"Panthera"
"Canis aureus Linnaeus, 1758",21.762953,79.339113,"Canis"
"Antilope cervicapra (Linnaeus, 1758)",27.798262,74.434976,"Antilope"
"Nilgiritragus Ropiquet & Hassanin, 2005",10.100864,77.095996,"Nilgiritragus"
"Boselaphus tragocamelus (Pallas, 1766)",28.412044,77.289832,"Boselaphus"
"Vulpes vulpes (Linnaeus, 1758)",33.589042,78.11105,"Vulpes"
"Semnopithecus priam Blyth, 1844",11.889178,77.155204,"Semnopithecus"
"Rusa unicolor (Kerr, 1792)",26.118888,76.545207,"Rusa"
"Panthera pardus fusca (Meyer, 1794)",19.168127,72.94758,"Panthera"
"Gazella bennettii (Sykes, 1831)",27.798262,74.434976,"Gazella"
"Capra sibirica (Pallas, 1776)",33.589042,78.11105,"Capra"
"Antilope cervicapra (Linnaeus, 1758)",27.798262,74.434976,"Antilope"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",12.996787,80.238079,"Macaca"
"Artibeus lituratus (Olfers, 1818)",21.522966,70.475197,"Artibeus"
"Funambulus palmarum (Linnaeus, 1766)",23.026501,72.560982,"Funambulus"
"Funambulus pennantii Wroughton, 1905",20.551365,75.702832,"Funambulus"
"Panthera pardus (Linnaeus, 1758)",21.168085,70.637543,"Panthera"
"Gazella bennettii (Sykes, 1831)",22.053425,72.030014,"Gazella"
"Funambulus pennantii Wroughton, 1905",26.847285,70.535462,"Funambulus"
"Gazella bennettii (Sykes, 1831)",27.022013,72.113987,"Gazella"
"Semnopithecus entellus (Dufresne, 1797)",23.026501,72.560982,"Semnopithecus"
"Funambulus pennantii Wroughton, 1905",22.053425,72.030014,"Funambulus"
"Axis axis (Erxleben, 1777)",29.569163,78.903305,"Axis"
"Semnopithecus entellus (Dufresne, 1797)",21.168085,70.637543,"Semnopithecus"
"Ovis orientalis Gmelin, 1774",33.58167,78.067477,"Ovis"
"Panthera tigris tigris",29.531238,78.994796,"Panthera"
"Boselaphus tragocamelus (Pallas, 1766)",22.053425,72.030014,"Boselaphus"
"Panthera leo (Linnaeus, 1758)",21.168085,70.637543,"Panthera"
"Funambulus pennantii Wroughton, 1905",24.591433,73.67695,"Funambulus"
"Sus scrofa Linnaeus, 1758",23.395203,71.339722,"Sus"
"Bubalus bubalis (Linnaeus, 1758)",23.67597,69.689774,"Bubalus"
"Elephas maximus Linnaeus, 1758",29.540119,78.923381,"Elephas"
"Macaca radiata (É.Geoffroy Saint-Hilaire, 1812)",11.91386,79.814472,"Macaca"
"Cervus unicolor Kerr, 1792",21.168085,70.637543,"Cervus"
"Lepus nigricollis F.Cuvier, 1823",21.168085,70.637543,"Lepus"
"Semnopithecus entellus (Dufresne, 1797)",21.168085,70.637543,"Semnopithecus"
"Sus scrofa cristatus Wagner, 1839",22.053425,72.030014,"Sus"
"Semnopithecus entellus (Dufresne, 1797)",23.397082,86.973687,"Semnopithecus"
